X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:1.177731
x:1.487001,y:-0.2029999,z:1.386,time:1.177731
x:1.487001,y:-0.2029999,z:1.386,time:1.180256
x:1.487001,y:-0.2029999,z:1.386,time:1.180256
x:1.487001,y:-0.2029999,z:1.386,time:1.182951
x:1.487001,y:-0.2029999,z:1.386,time:1.182951
x:1.487001,y:-0.2029999,z:1.386,time:1.185396
x:1.487001,y:-0.2029999,z:1.386,time:1.185396
x:1.487001,y:-0.2029999,z:1.386,time:1.187715
x:1.487001,y:-0.2029999,z:1.386,time:1.187715
x:1.487001,y:-0.2029999,z:1.386,time:1.190072
x:1.487001,y:-0.2029999,z:1.386,time:1.190072
x:1.487001,y:-0.2029999,z:1.386,time:1.192424
x:1.487001,y:-0.2029999,z:1.386,time:1.192424
x:1.487001,y:-0.2029999,z:1.386,time:1.194757
x:1.487001,y:-0.2029999,z:1.386,time:1.194757
x:1.487001,y:-0.2029999,z:1.386,time:1.197221
x:1.487001,y:-0.2029999,z:1.386,time:1.197221
x:1.487001,y:-0.2029999,z:1.386,time:1.199899
x:1.487001,y:-0.2029999,z:1.386,time:1.199899
x:1.487001,y:-0.2029999,z:1.386,time:1.202464
x:1.487001,y:-0.2029999,z:1.386,time:1.202464
x:1.487001,y:-0.2029999,z:1.386,time:1.205068
x:1.487001,y:-0.2029999,z:1.386,time:1.205068
x:1.487001,y:-0.2029999,z:1.386,time:1.207602
x:1.487001,y:-0.2029999,z:1.386,time:1.207602
x:1.487001,y:-0.2029999,z:1.386,time:1.209956
x:1.487001,y:-0.2029999,z:1.386,time:1.209956
x:1.487001,y:-0.2029999,z:1.386,time:1.212315
x:1.487001,y:-0.2029999,z:1.386,time:1.212315
x:1.487001,y:-0.2029999,z:1.386,time:1.214823
x:1.487001,y:-0.2029999,z:1.386,time:1.214823
x:1.487001,y:-0.2029999,z:1.386,time:1.217167
x:1.487001,y:-0.2029999,z:1.386,time:1.217167
x:1.487001,y:-0.2029999,z:1.386,time:1.219548
x:1.487001,y:-0.2029999,z:1.386,time:1.219548
x:1.487001,y:-0.2029999,z:1.386,time:1.221896
x:1.487001,y:-0.2029999,z:1.386,time:1.221896
